"SUB_ID","QC_Left_Lateral","Comments_1","QC_Left_Medial","QC_Right_Lateral","QC_Right_Medial"
"sub-28675_ses-1","","","","",""
"sub-28676_ses-1","3","noise temporal","3","2","3"
"sub-28677_ses-1","","","","",""
"sub-28678_ses-1","","","","",""
"sub-28679_ses-1","","noise","2","","2"
"sub-28680_ses-1","","","","",""
"sub-28681_ses-1","","","","",""
"sub-28682_ses-2","2","noise temporal","2","3","3"
"sub-28683_ses-1","","","","",""
"sub-28684_ses-1","","","","",""
"sub-28685_ses-1","","","","",""
"sub-28686_ses-1","","","","",""
"sub-28687_ses-1","2","noise","2","2","2"
"sub-28688_ses-1","","","","",""
"sub-28689_ses-1","","","","",""
"sub-28690_ses-1","","","","",""
"sub-28691_ses-1","","","","",""
"sub-28692_ses-1","","","","",""
"sub-28694_ses-1","","","","",""
"sub-28695_ses-1","","","","",""
"sub-28696_ses-1","3","noise incomplete fronto-parietal segmentation","3","3","3"
"sub-28697_ses-1","3","incomplete frontal","3","3","3"
"sub-28698_ses-1","","","","",""
"sub-28699_ses-1","","","","",""
"sub-28700_ses-1","","","","",""
"sub-28701_ses-1","","","","",""
"sub-28702_ses-1","2","noise","2","2","2"
"sub-28703_ses-1","","","","",""
"sub-28704_ses-1","","","","",""
"sub-28705_ses-1","","","","",""
"sub-28705_ses-2","3","noise bad segmentation","3","3","3"
"sub-28706_ses-1","2","noise occipital","3","3","3"
"sub-28707_ses-1","","","","",""
"sub-28708_ses-1","","","","",""
"sub-28709_ses-1","","","","",""
"sub-28710_ses-1","2","noise","2","",""
"sub-28711_ses-1","3","noise temporal","3","3","3"
"sub-28712_ses-1","","","","",""
"sub-28713_ses-1","","","","",""
"sub-28714_ses-1","","","","",""
"sub-28715_ses-1","","","","",""
"sub-28716_ses-1","","","","",""
"sub-28717_ses-1","","","","",""
"sub-28718_ses-1","","","","",""
"sub-28719_ses-1","","","","",""
"sub-28720_ses-1","","","","",""
"sub-28721_ses-1","","","","",""
"sub-28722_ses-1","","","","",""
